ponto;Profundidade; pH CaCl2     ;P meh-û mg.dm-ü;K mg.dm-ü;S mg.dm-ü;K cmolc.dm-ü    ;Ca+Mg;Ca cmolc.dm-ü;Mg cmolc.dm-ü;Al cmolc.dm-ü;H+Al cmolc.dm-ü;MO dag.kg-û ;B mg.dm-ü;Cu mg.dm-ü;Fe mg.dm-ü;Mn mg.dm-ü;Zn mg.dm-ü;T cmolc.dm-ü;t cmolc.dm-ü;V %;m %;Ca/Mg;Ca/K;Mg/K;Ca/T %;Mg/T %;K/T %;H+Al/T %;Argila %;Silte %;Areia total %
1;00-20;5,80000019073486;26,7999992370605;62;;0,159999996423721;4,40000009536743;3,79999995231628;0,600000023841858;0;1,5;1,60000002384186;;;;;;6,05999994277954;4,55999994277954;75,1999969482422;0;6,30000019073486;23,7999992370605;3,79999995231628;62,7000007629395;9,89999961853027;2,59999990463257;24,7999992370605;17,5;5;77,5
2;00-20;5,80000019073486;8,5;44;9;0,109999999403954;3,29999995231628;2,79999995231628;0,5;0;1,60000002384186;1,20000004768372;0,14300000667572;0,300000011920929;10;0,400000005960465;0,400000005960465;5,01000022888184;3,41000008583069;68,0999984741211;0;5,59999990463257;25,5;4,5;55,9000015258789;10;2,20000004768372;31,8999996185303;17,5;5;77,5
3;00-20;5,80000019073486;7,09999990463257;68;;0,170000001788139;2,90000009536743;2,5;0,400000005960465;0;1,5;1,39999997615814;;;;;;4,57000017166138;3,0699999332428;67,1999969482422;0;6,19999980926514;14,6999998092651;2,40000009536743;54,7000007629395;8,80000019073486;3,70000004768372;32,7999992370606;20;7,5;72,5
4;00-20;5,80000019073486;1,79999995231628;43;;0,109999999403954;3,5;3;0,5;0;1,5;1,39999997615814;;;;;;5,1100001335144;3,60999989509583;70,5999984741211;0;6;27,2999992370605;4,5;58,7000007629395;9,80000019073486;2,20000004768372;29,3999996185303;20;5;75
5;00-20;5,80000019073486;1,5;78;;0,200000002980232;3,20000004768372;2,79999995231628;0,400000005960465;0;1,5;1,29999995231628;;;;;;4,90000009536743;3,40000009536743;69,4000015258789;0;7;14;2;57,0999984741211;8,19999980926514;4,09999990463257;30,6000003814697;22,5;5;72,5
6;00-20;5,80000019073486;3,20000004768372;48;;0,119999997317791;3,09999990463257;2,59999990463257;0,5;0;1,60000002384186;1,20000004768372;;;;;;4,82000017166138;3,22000002861023;66,8000030517578;0;5,19999980926514;21,7000007629395;4,19999980926514;53,9000015258789;10,3999996185303;2,5;33,2000007629395;22,5;5;72,5
7;00-20;5,80000019073486;3,70000004768372;67;6,90000009536743;0,170000001788139;3,40000009536743;2,90000009536743;0,5;0;1,60000002384186;1,10000002384186;0,135000005364418;0,200000002980232;11;0,300000011920929;0,300000011920929;5,17000007629395;3,5699999332428;69,0999984741211;0;5,80000019073486;17,1000003814697;2,90000009536743;56,0999984741211;9,69999980926514;3,29999995231628;30,8999996185303;22,5;5;72,5
8;00-20;5,80000019073486;9,69999980926514;52;;0,129999995231628;3,20000004768372;2,70000004768372;0,5;0;1,60000002384186;1,20000004768372;;;;;;4,92999982833862;3,32999992370605;67,5;0;5,40000009536743;20,7999992370605;3,79999995231628;54,7999992370606;10,1000003814697;2,59999990463257;32,5;22,5;2,5;75
9;00-20;5,80000019073486;3;43;;0,109999999403954;3,70000004768372;3,20000004768372;0,5;0;1,5;1,20000004768372;;;;;;5,30999994277954;3,80999994277954;71,8000030517578;0;6,40000009536743;29,1000003814697;4,5;60,2999992370606;9,39999961853027;2,09999990463257;28,2000007629395;27,5;2,5;70
10;00-20;5,80000019073486;2,09999990463257;72;;0,180000007152557;3,29999995231628;2,79999995231628;0,5;0;1,5;1,39999997615814;;;;;;4,98000001907349;3,48000001907349;69,9000015258789;0;5,59999990463257;15,6000003814697;2,79999995231628;56,2000007629395;10;3,59999990463257;30,1000003814697;22,5;2,5;75
11;00-20;5,69999980926514;1,79999995231628;34;;0,0900000035762787;3,40000009536743;2,90000009536743;0,5;0;1,60000002384186;1,20000004768372;;;;;;5,09000015258789;3,49000000953674;68,5999984741211;0;5,80000019073486;32,2000007629395;5,59999990463257;57;9,80000019073486;1,79999995231628;31,3999996185303;22,5;2,5;75
12;00-20;5,69999980926514;1,29999995231628;69;;0,180000007152557;3,20000004768372;2,70000004768372;0,5;0;1,60000002384186;1,29999995231628;;;;;;4,98000001907349;3,38000011444092;67,9000015258789;0;5,40000009536743;15;2,79999995231628;54,2000007629395;10;3,59999990463257;32,0999984741211;20;2,5;77,5
13;00-20;5,69999980926514;7,30000019073486;65;;0,170000001788139;3;2,59999990463257;0,400000005960465;0;1,60000002384186;1,29999995231628;;;;;;4,76999998092651;3,17000007629395;66,5;0;6,5;15,3000001907349;2,40000009536743;54,5;8,39999961853027;3,59999990463257;33,5;20;2,5;77,5
14;00-20;5,69999980926514;8,30000019073486;78;8,5;0,200000002980232;2,59999990463257;2,20000004768372;0,400000005960465;0;1,60000002384186;1,29999995231628;0,138999998569489;0,300000011920929;15;0,400000005960465;0,300000011920929;4,40000009536743;2,79999995231628;63,5999984741211;0;5,5;11;2;50;9,10000038146973;4,5;36,4000015258789;17,5;2,5;80
15;00-20;5,69999980926514;3,70000004768372;45;;0,119999997317791;2,79999995231628;2,40000009536743;0,400000005960465;0;1,60000002384186;1;;;;;;4,51999998092651;2,92000007629395;64,5999984741211;0;6;20;3,29999995231628;53,0999984741211;8,80000019073486;2,70000004768372;35,4000015258789;25;2,5;72,5
16;00-20;5,69999980926514;2,29999995231628;61;7,40000009536743;0,159999996423721;2,90000009536743;2,5;0,400000005960465;0;1,60000002384186;1,20000004768372;0,14300000667572;0,600000023841858;10;0,600000023841858;0,699999988079071;4,65999984741211;3,05999994277954;65,6999969482422;0;6,19999980926514;15,6000003814697;2,5;53,5999984741211;8,60000038146973;3,40000009536743;34,2999992370606;20;5;75
17;00-20;5,69999980926514;17,2999992370605;50;;0,129999995231628;3,90000009536743;3,5;0,400000005960465;0;1,60000002384186;1,10000002384186;;;;;;5,63000011444092;4,03000020980835;71,5999984741211;0;8,80000019073486;26,8999996185303;3,09999990463257;62,2000007629395;7,09999990463257;2,29999995231628;28,3999996185303;25;2,5;72,5
18;00-20;5,69999980926514;4,09999990463257;47;;0,119999997317791;2,79999995231628;2,5;0,300000011920929;0;1,60000002384186;1,29999995231628;;;;;;4,51999998092651;2,92000007629395;64,5999984741211;0;8,30000019073486;20,7999992370605;2,5;55,2999992370606;6,59999990463257;2,70000004768372;35,4000015258789;25;5;70
19;00-20;5,59999990463257;3,29999995231628;63;;0,159999996423721;3;2,70000004768372;0,300000011920929;0;1,60000002384186;1,20000004768372;;;;;;4,76000022888184;3,16000008583069;66,4000015258789;0;9;16,8999996185303;1,89999997615814;56,7000007629395;6,30000019073486;3,40000009536743;33,5999984741211;22,5;5;72,5
20;00-20;5,69999980926514;3,5;55;;0,140000000596046;3,59999990463257;3,20000004768372;0,400000005960465;0;1,60000002384186;1,29999995231628;;;;;;5,34000015258789;3,74000000953674;70;0;8;22,8999996185303;2,90000009536743;59,9000015258789;7,5;2,59999990463257;30;22,5;5;72,5
21;00-20;5,59999990463257;5,40000009536743;50;;0,129999995231628;3,20000004768372;2,79999995231628;0,400000005960465;0;1,79999995231628;1,39999997615814;;;;;;5,13000011444092;3,32999992370605;64,9000015258789;0;7;21,5;3,09999990463257;54,5999984741211;7,80000019073486;2,5;35,0999984741211;20;2,5;77,5
22;00-20;5,5;1,79999995231628;46;;0,119999997317791;3,20000004768372;2,79999995231628;0,400000005960465;0;2;1,29999995231628;;;;;;5,32000017166138;3,3199999332428;62,4000015258789;0;7;23,2999992370605;3,29999995231628;52,5999984741211;7,5;2,29999995231628;37,5999984741211;25;2,5;72,5
23;00-20;5,69999980926514;3,79999995231628;57;7,40000009536743;0,150000005960464;3,59999990463257;3,20000004768372;0,400000005960465;0;1,60000002384186;1,20000004768372;0,216999992728233;0,300000011920929;9;0,400000005960465;0,400000005960465;5,34999990463257;3,75;70,0999984741211;0;8;21,2999992370605;2,70000004768372;59,7999992370606;7,5;2,79999995231628;29,8999996185303;25;2,5;72,5
