Ponto;Profundidade;pH CaCl2;P meh-û mg.dm-ü;K mg.dm-ü;S mg.dm-ü;Ca cmolc.dm-ü;Mg cmolc.dm-ü;Al cmolc.dm-ü;MO dag.kg-û;B mg.dm-ü;Cu mg.dm-ü;Fe mg.dm-ü;Mn mg.dm-ü;Zn mg.dm-ü;T cmolc.dm-ü;t2cmolc.dm-ü;V %;Ca/Mg;Ca/T %;Mg/T %;K/T %;Argila %;Silte %;Areia total %;;;
1;00-20;5,4;1,7;154;;1,9;1,5;0;2,4;;;;;;5,59;3,79;67,800003;1,3;34;26,799999;7;37,5;5;57,5;;;
2;00-20;5,5;2,5;153;9,8;3,6;2,3;0;3,6;0,329;2,9;22;21,299999;1;7,89;6,29;79,699997;1,6;45,599998;29,200001;4,9;47,5;10;42,5;;;
3;00-20;5,4;2;125;;3,5;1,1;0;3,3;;;;;;6,72;4,92;73,199997;3,2;52,099998;16,4;4,8;37,5;12,5;50;;;
4;00-20;5,5;2,8;88;9,6;9,9;4,2;0;4,9;0,463;4,5;47;76,900002;2,3;15,93;14,33;90;2,4;62,099998;26,4;1,4;47,5;15;37,5;;;
5;00-20;5,4;1,5;116;;1,2;0,8;0;2,3;;;;;;4,1;2,3;56,099998;1,5;29,299999;19,5;7,3;50;7,5;42,5;;;
6;00-20;5,4;1,9;105;;3,8;1,9;0;3,3;;;;;;7,77;5,97;76,800003;2;48,900002;24,5;3,5;45;12,5;42,5;;;
7;00-20;5,4;3,7;175;10;7,8;1,9;0;4,3;0,521;5,8;30;81,199997;1,8;11,95;10,15;84,900002;4,1;65,300003;15,9;3,8;47,5;15;37,5;;;
1;20-40;;;;;;;;;;;;;;;;;;;;;;;;;;
2;20-40;5,6;2,3;159;9,2;9,1;2,5;0;3,4;;;;;;13,61;12,01;88,199997;3,6;66,900002;18,4;3;;;;;;
3;20-40;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20-40;5,4;2,9;74;10,3;8,1;3,8;0;4,2;;;;;;13,89;12,09;87;2,1;58,299999;27,4;1,4;;;;;;
5;20-40;;;;;;;;;;;;;;;;;;;;;;;;;;
6;20-40;;;;;;;;;;;;;;;;;;;;;;;;;;
7;20-40;5,5;4;175;9,9;3,3;2;0;4,2;;;;;;7,55;5,75;76,199997;1,6;43,700001;26,5;6;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;8,52474790375;852,474790375;;(((100-V*T/80)*1000);;;;;;;
;;;;;;;;;;;;;;;;;0,295877958750004;295,877958750004;;;;;;;Pontos;t_cmolcdm;v
;;;;;;;;;;;;;;;;;5,71200252;5712,00252;;;;;;;1;5,59;67,800003
;;;;;;;;;;;;;;;;;-19,9125;-19912,5;;;;;;;2;7,89;79,699997
;;;;;;;;;;;;;;;;;12,248751025;12248,751025;;;;;;;3;6,72;73,199997
;;;;;;;;;;;;;;;;;3,10799708625;3107,99708625;;;;;;;4;15,93;90
;;;;;;;;;;;;;;;;;;;;;;;;;5;4,1;56,099998
;;;;;;;;;;;;;;;;;;;;;;;;;6;7,77;76,800003
;;;;;;;;;;;;;;;;;;;;;;;;;7;11,95;84,900002
